x,y,z,shadow
1472849.35690407,-850349.972684333,6347098.60454547,0.773992466443593
1541357.60390042,-718746.854654208,6347098.60454547,0.638990275464184
1598135.18883393,-581673.639068949,6347098.60454547,0.520582588081496
1642750,-440173.535866227,6347098.60454547,0.426440254150703
1674862.4917465,-295323.446271517,6347098.60454547,0.359364948683133
2238862.2716334,195875.06796382,6174720.2111842,0
2213271.0877247,390259.408387836,6174720.2111842,0
2170835.57442879,581673.639068947,6174720.2111842,0
2111878.69162512,768660.982132598,6174720.2111842,0
2036849.13679097,949798.350992028,6174720.2111842,0
1946317.9301427,1123707.18089648,6174720.2111842,0
1840974.06882715,1289063.92064137,6174720.2111842,0.0595946710136697
1721619.28323729,1444610.1055921,6174720.2111842,0.264626078723583
1589161.93535985,1589161.93535985,6174720.2111842,0.539489047530484
1444610.1055921,1721619.28323729,6174720.2111842,0.825292669803545
1289063.92064137,1840974.06882715,6174720.2111842,1
1123707.18089648,1946317.9301427,6174720.2111842,1
949798.350992028,2036849.13679097,6174720.2111842,1
768660.982132598,2111878.69162512,6174720.2111842,1
581673.639068947,2170835.57442879,6174720.2111842,1
390259.408387837,2213271.0877247,6174720.2111842,1
195875.067963821,2238862.2716334,6174720.2111842,1
1.37614440226378e-10,2247414.36179297,6174720.2111842,1
-195875.06796382,2238862.2716334,6174720.2111842,1
-390259.408387836,2213271.0877247,6174720.2111842,1
-581673.639068947,2170835.57442879,6174720.2111842,1
-768660.982132598,2111878.69162512,6174720.2111842,1
-949798.350992028,2036849.13679097,6174720.2111842,1
-1123707.18089648,1946317.9301427,6174720.2111842,1
-1289063.92064137,1840974.06882715,6174720.2111842,1
-1444610.1055921,1721619.28323729,6174720.2111842,1
-1589161.93535985,1589161.93535985,6174720.2111842,1
-1721619.28323729,1444610.1055921,6174720.2111842,1
-1840974.06882715,1289063.92064137,6174720.2111842,1
-1946317.9301427,1123707.18089648,6174720.2111842,1
-2036849.13679097,949798.350992028,6174720.2111842,1
-2111878.69162512,768660.982132598,6174720.2111842,1
-2170835.57442879,581673.639068948,6174720.2111842,1
-2213271.0877247,390259.408387837,6174720.2111842,1
-2238862.2716334,195875.06796382,6174720.2111842,1
-2247414.36179297,2.75228880452755e-10,6174720.2111842,1
-2238862.2716334,-195875.06796382,6174720.2111842,1
-2213271.0877247,-390259.408387836,6174720.2111842,1
-2170835.57442879,-581673.639068947,6174720.2111842,1
-2111878.69162512,-768660.982132597,6174720.2111842,1
-2036849.13679097,-949798.350992028,6174720.2111842,1
-1946317.9301427,-1123707.18089648,6174720.2111842,1
-1840974.06882715,-1289063.92064137,6174720.2111842,1
-1721619.28323729,-1444610.1055921,6174720.2111842,1
-1589161.93535985,-1589161.93535985,6174720.2111842,1
-1444610.1055921,-1721619.28323729,6174720.2111842,1
-1289063.92064137,-1840974.06882715,6174720.2111842,1
-1123707.18089649,-1946317.9301427,6174720.2111842,1
-949798.350992029,-2036849.13679097,6174720.2111842,1
-768660.982132599,-2111878.69162512,6174720.2111842,1
-581673.639068947,-2170835.57442879,6174720.2111842,1
-390259.408387836,-2213271.0877247,6174720.2111842,1
-195875.067963821,-2238862.2716334,6174720.2111842,1
-4.12843320679133e-10,-2247414.36179297,6174720.2111842,1
195875.06796382,-2238862.2716334,6174720.2111842,1
390259.408387836,-2213271.0877247,6174720.2111842,1
581673.639068946,-2170835.57442879,6174720.2111842,1
768660.982132596,-2111878.69162513,6174720.2111842,1
949798.350992027,-2036849.13679097,6174720.2111842,1
1123707.18089648,-1946317.9301427,6174720.2111842,1
1289063.92064137,-1840974.06882715,6174720.2111842,1
1444610.1055921,-1721619.28323729,6174720.2111842,0.825292669803545
1589161.93535984,-1589161.93535985,6174720.2111842,0.539489047530484
1721619.28323729,-1444610.1055921,6174720.2111842,0.264626078723585
1840974.06882715,-1289063.92064137,6174720.2111842,0.0595946710136697
1946317.9301427,-1123707.18089649,6174720.2111842,0
2036849.13679097,-949798.350992029,6174720.2111842,0
2111878.69162512,-768660.982132599,6174720.2111842,0
2170835.57442879,-581673.639068947,6174720.2111842,0
2213271.0877247,-390259.408387836,6174720.2111842,0
2766457.18089648,242033.641458329,5955348.46861783,0
2734835.35431569,482225.260761251,5955348.46861783,0
2682399.77934982,718746.854654207,5955348.46861783,0
2609549.52238583,949798.350992028,5955348.46861783,0
2516839.0178674,1173621.30837487,5955348.46861783,0
2404973.84871405,1388512.29894907,5955348.46861783,0
2274805.37640907,1592835.87252161,5955348.46861783,0
2127324.26162458,1785037.00332367,5955348.46861783,0
1963652.92469562,1963652.92469562,5955348.46861783,0
1785037.00332367,2127324.26162458,5955348.46861783,0.14652139156682
1592835.87252161,2274805.37640907,5955348.46861783,0.531753027940905
1388512.29894907,2404973.84871405,5955348.46861783,0.915624921629493
1173621.30837487,2516839.0178674,5955348.46861783,1
949798.350992028,2609549.52238583,5955348.46861783,1
718746.854654207,2682399.77934982,5955348.46861783,1
482225.260761251,2734835.35431569,5955348.46861783,1
242033.641458329,2766457.18089648,5955348.46861783,1
1.70043714248471e-10,2777024.59789814,5955348.46861783,1
-242033.641458328,2766457.18089648,5955348.46861783,1
-482225.260761251,2734835.35431569,5955348.46861783,1
-718746.854654207,2682399.77934982,5955348.46861783,1
-949798.350992028,2609549.52238583,5955348.46861783,1
-1173621.30837487,2516839.0178674,5955348.46861783,1
-1388512.29894907,2404973.84871405,5955348.46861783,1
-1592835.87252161,2274805.37640907,5955348.46861783,1
-1785037.00332367,2127324.26162458,5955348.46861783,1
-1963652.92469562,1963652.92469562,5955348.46861783,1
-2127324.26162458,1785037.00332367,5955348.46861783,1
-2274805.37640907,1592835.87252161,5955348.46861783,1
-2404973.84871405,1388512.29894907,5955348.46861783,1
-2516839.0178674,1173621.30837488,5955348.46861783,1
-2609549.52238583,949798.350992028,5955348.46861783,1
-2682399.77934982,718746.854654208,5955348.46861783,1
-2734835.35431569,482225.260761252,5955348.46861783,1
-2766457.18089648,242033.641458329,5955348.46861783,1
-2777024.59789814,3.40087428496942e-10,5955348.46861783,1
-2766457.18089648,-242033.641458328,5955348.46861783,1
-2734835.35431569,-482225.26076125,5955348.46861783,1
-2682399.77934982,-718746.854654207,5955348.46861783,1
-2609549.52238583,-949798.350992028,5955348.46861783,1
-2516839.0178674,-1173621.30837487,5955348.46861783,1
-2404973.84871405,-1388512.29894907,5955348.46861783,1
-2274805.37640907,-1592835.87252161,5955348.46861783,1
-2127324.26162458,-1785037.00332367,5955348.46861783,1
-1963652.92469562,-1963652.92469562,5955348.46861783,1
-1785037.00332367,-2127324.26162458,5955348.46861783,1
-1592835.87252161,-2274805.37640907,5955348.46861783,1
-1388512.29894907,-2404973.84871405,5955348.46861783,1
-1173621.30837488,-2516839.0178674,5955348.46861783,1
-949798.35099203,-2609549.52238583,5955348.46861783,1
-718746.854654207,-2682399.77934982,5955348.46861783,1
-482225.260761251,-2734835.35431569,5955348.46861783,1
-242033.641458329,-2766457.18089648,5955348.46861783,1
-5.10131142745413e-10,-2777024.59789814,5955348.46861783,1
242033.641458328,-2766457.18089648,5955348.46861783,1
482225.26076125,-2734835.35431569,5955348.46861783,1
718746.854654206,-2682399.77934982,5955348.46861783,1
949798.350992026,-2609549.52238583,5955348.46861783,1
1173621.30837487,-2516839.0178674,5955348.46861783,1
1388512.29894907,-2404973.84871405,5955348.46861783,0.915624921629493
1592835.87252161,-2274805.37640907,5955348.46861783,0.531753027940909
1785037.00332367,-2127324.26162458,5955348.46861783,0.146521391566823
1963652.92469562,-1963652.92469562,5955348.46861783,0
2127324.26162458,-1785037.00332367,5955348.46861783,0
2274805.37640907,-1592835.87252161,5955348.46861783,0
2404973.84871405,-1388512.29894907,5955348.46861783,0
2516839.0178674,-1173621.30837488,5955348.46861783,0
2609549.52238583,-949798.35099203,5955348.46861783,0
2682399.77934982,-718746.854654207,5955348.46861783,0
2734835.35431569,-482225.260761251,5955348.46861783,0
3272997.68058043,286350.192797431,5690652.92826755,0
3235585.87252161,570521.0877247,5690652.92826755,0
3173549.30227273,850349.972684332,5690652.92826755,0
3087360.1055921,1123707.18089648,5690652.92826755,0
2977674.23430891,1388512.29894907,5690652.92826755,0
2845326.46413377,1642750,5690652.92826755,0
2691324.04151148,1884485.38163136,5690652.92826755,0
2516839.0178674,2111878.69162512,5690652.92826755,0
2323199.3295884,2323199.3295884,5690652.92826755,0
2111878.69162512,2516839.0178674,5690652.92826755,0
1884485.38163136,2691324.04151148,5690652.92826755,0.0114460045813096
1642750,2845326.46413377,5690652.92826755,0.426440254150703
1388512.29894907,2977674.23430891,5690652.92826755,0.915624921629493
1123707.18089648,3087360.1055921,5690652.92826755,1
850349.972684332,3173549.30227273,5690652.92826755,1
570521.0877247,3235585.87252161,5690652.92826755,1
286350.192797431,3272997.68058043,5690652.92826755,1
2.01178852929931e-10,3285500,5690652.92826755,1
-286350.19279743,3272997.68058043,5690652.92826755,1
-570521.087724699,3235585.87252161,5690652.92826755,1
-850349.972684331,3173549.30227273,5690652.92826755,1
-1123707.18089648,3087360.1055921,5690652.92826755,1
-1388512.29894907,2977674.23430891,5690652.92826755,1
-1642750,2845326.46413377,5690652.92826755,1
-1884485.38163136,2691324.04151148,5690652.92826755,1
-2111878.69162512,2516839.0178674,5690652.92826755,1
-2323199.3295884,2323199.3295884,5690652.92826755,1
-2516839.0178674,2111878.69162513,5690652.92826755,1
-2691324.04151148,1884485.38163136,5690652.92826755,1
-2845326.46413377,1642750,5690652.92826755,1
-2977674.23430891,1388512.29894907,5690652.92826755,1
-3087360.1055921,1123707.18089648,5690652.92826755,1
-3173549.30227273,850349.972684333,5690652.92826755,1
-3235585.87252161,570521.087724701,5690652.92826755,1
-3272997.68058043,286350.192797431,5690652.92826755,1
-3285500,4.02357705859863e-10,5690652.92826755,1
-3272997.68058043,-286350.19279743,5690652.92826755,1
-3235585.87252161,-570521.087724698,5690652.92826755,1
-3173549.30227273,-850349.972684332,5690652.92826755,1
-3087360.1055921,-1123707.18089648,5690652.92826755,1
-2977674.23430891,-1388512.29894907,5690652.92826755,1
-2845326.46413377,-1642750,5690652.92826755,1
-2691324.04151148,-1884485.38163136,5690652.92826755,1
-2516839.0178674,-2111878.69162512,5690652.92826755,1
-2323199.3295884,-2323199.3295884,5690652.92826755,1
-2111878.69162513,-2516839.0178674,5690652.92826755,1
-1884485.38163136,-2691324.04151148,5690652.92826755,1
-1642750,-2845326.46413377,5690652.92826755,1
-1388512.29894907,-2977674.23430891,5690652.92826755,1
-1123707.18089649,-3087360.1055921,5690652.92826755,1
-850349.972684331,-3173549.30227273,5690652.92826755,1
-570521.0877247,-3235585.87252161,5690652.92826755,1
-286350.192797431,-3272997.68058043,5690652.92826755,1
-6.03536558789794e-10,-3285500,5690652.92826755,1
286350.19279743,-3272997.68058043,5690652.92826755,1
570521.087724698,-3235585.87252161,5690652.92826755,1
850349.97268433,-3173549.30227273,5690652.92826755,1
1123707.18089648,-3087360.1055921,5690652.92826755,1
1388512.29894907,-2977674.23430891,5690652.92826755,0.915624921629494
1642750,-2845326.46413377,5690652.92826755,0.426440254150703
1884485.38163136,-2691324.04151148,5690652.92826755,0.0114460045813077
2111878.69162512,-2516839.0178674,5690652.92826755,0
2323199.3295884,-2323199.3295884,5690652.92826755,0
2516839.0178674,-2111878.69162513,5690652.92826755,0
2691324.04151148,-1884485.38163136,5690652.92826755,0
2845326.46413377,-1642750,5690652.92826755,0
2977674.23430891,-1388512.29894907,5690652.92826755,0
3087360.1055921,-1123707.18089649,5690652.92826755,0
3173549.30227273,-850349.972684332,5690652.92826755,0
3235585.87252161,-570521.0877247,5690652.92826755,0
3754628.69162512,328487.446266371,5382648.08302297,0
3711711.62853747,654474.904720511,5382648.08302297,0
3640546.19876389,975481.413966977,5382648.08302297,0
3541674.01419581,1289063.92064137,5382648.08302297,0
3415847.55185847,1592835.87252161,5382648.08302297,0
3264024.42710634,1884485.38163136,5382648.08302297,0
3087360.1055921,2161792.81910352,5382648.08302297,0
2887199.1094753,2422647.7078961,5382648.08302297,0
2665064.78479691,2665064.78479691,5382648.08302297,0
2422647.7078961,2887199.1094753,5382648.08302297,0
2161792.81910352,3087360.1055921,5382648.08302297,0
1884485.38163136,3264024.42710634,5382648.08302297,0.0114460045813077
1592835.87252161,3415847.55185847,5382648.08302297,0.531753027940909
1289063.92064137,3541674.01419581,5382648.08302297,1
975481.413966977,3640546.19876389,5382648.08302297,1
654474.904720512,3711711.62853747,5382648.08302297,1
328487.446266372,3754628.69162512,5382648.08302297,1
2.30782899065483e-10,3768970.76326272,5382648.08302297,1
-328487.44626637,3754628.69162512,5382648.08302297,1
-654474.904720511,3711711.62853747,5382648.08302297,1
-975481.413966976,3640546.19876389,5382648.08302297,1
-1289063.92064137,3541674.01419581,5382648.08302297,1
-1592835.87252161,3415847.55185847,5382648.08302297,1
-1884485.38163136,3264024.42710634,5382648.08302297,1
-2161792.81910351,3087360.1055921,5382648.08302297,1
-2422647.7078961,2887199.1094753,5382648.08302297,1
-2665064.78479691,2665064.78479691,5382648.08302297,1
-2887199.1094753,2422647.7078961,5382648.08302297,1
-3087360.1055921,2161792.81910352,5382648.08302297,1
-3264024.42710634,1884485.38163136,5382648.08302297,1
-3415847.55185847,1592835.87252161,5382648.08302297,1
-3541674.01419581,1289063.92064137,5382648.08302297,1
-3640546.19876389,975481.413966978,5382648.08302297,1
-3711711.62853747,654474.904720513,5382648.08302297,1
-3754628.69162512,328487.446266371,5382648.08302297,1
-3768970.76326272,4.61565798130965e-10,5382648.08302297,1
-3754628.69162512,-328487.44626637,5382648.08302297,1
-3711711.62853747,-654474.90472051,5382648.08302297,1
-3640546.19876389,-975481.413966977,5382648.08302297,1
-3541674.01419581,-1289063.92064137,5382648.08302297,1
-3415847.55185847,-1592835.87252161,5382648.08302297,1
-3264024.42710634,-1884485.38163136,5382648.08302297,1
-3087360.1055921,-2161792.81910351,5382648.08302297,1
-2887199.1094753,-2422647.7078961,5382648.08302297,1
-2665064.78479691,-2665064.78479691,5382648.08302297,1
-2422647.7078961,-2887199.1094753,5382648.08302297,1
-2161792.81910352,-3087360.1055921,5382648.08302297,1
-1884485.38163136,-3264024.42710634,5382648.08302297,1
-1592835.87252161,-3415847.55185847,5382648.08302297,1
-1289063.92064137,-3541674.01419581,5382648.08302297,1
-975481.413966976,-3640546.19876389,5382648.08302297,1
-654474.904720511,-3711711.62853747,5382648.08302297,1
-328487.446266371,-3754628.69162512,5382648.08302297,1
-6.92348697196448e-10,-3768970.76326272,5382648.08302297,1
328487.44626637,-3754628.69162512,5382648.08302297,1
654474.90472051,-3711711.62853747,5382648.08302297,1
975481.413966975,-3640546.19876389,5382648.08302297,1
1289063.92064137,-3541674.01419581,5382648.08302297,1
1592835.87252161,-3415847.55185847,5382648.08302297,0.531753027940912
1884485.38163136,-3264024.42710634,5382648.08302297,0.0114460045813077
2161792.81910352,-3087360.1055921,5382648.08302297,0
2422647.7078961,-2887199.1094753,5382648.08302297,0
2665064.78479691,-2665064.78479691,5382648.08302297,0
